datetime,air.temp,headwind,humidity
2023-02-01 00:00:00,4.209,-3.833205624,81.4
2023-02-01 00:10:00,4.217,-3.872927424,81.5
2023-02-01 00:20:00,4.222,-4.08865782,81.4
2023-02-01 00:30:00,4.191,-3.475730082,81.4
2023-02-01 00:40:00,4.14,-3.528819701,81.6
2023-02-01 00:50:00,4.189,-4.410037321,81
2023-02-01 01:00:00,4.227,-4.042323005,81.3
2023-02-01 01:10:00,4.199,-4.011481557,81.3
2023-02-01 01:20:00,4.29,-3.975247002,80.9
2023-02-01 01:30:00,4.407,-4.310209228,80
2023-02-01 01:40:00,4.538,-3.745889332,79.69
2023-02-01 01:50:00,4.57,-3.614795686,80.1
2023-02-01 02:00:00,4.572,-4.286524523,79.99
2023-02-01 02:10:00,4.648,-3.635899452,79.72
2023-02-01 02:20:00,4.788,-3.857442034,78.65
2023-02-01 02:30:00,4.841,-4.269884315,78.49
2023-02-01 02:40:00,4.808,-4.186615511,79.09
2023-02-01 02:50:00,4.676,-4.368685089,78.87
2023-02-01 03:00:00,4.715,-4.717451361,79.33
2023-02-01 03:10:00,4.661,-4.778436192,79.97
2023-02-01 03:20:00,4.638,-4.439033619,80.4
2023-02-01 03:30:00,4.651,-4.70119418,79.9
2023-02-01 03:40:00,4.624,-4.415312546,80.7
2023-02-01 03:50:00,4.532,-4.247973595,81.1
2023-02-01 04:00:00,4.545,-4.164057122,81.2
2023-02-01 04:10:00,4.545,-4.314981445,80.9
2023-02-01 04:20:00,4.573,-3.840737004,80.6
2023-02-01 04:30:00,4.548,-3.811158442,80.9
2023-02-01 04:40:00,4.459,-3.583485493,81
2023-02-01 04:50:00,4.452,-3.480308046,81.1
2023-02-01 05:00:00,4.512,-3.983623672,80.9
2023-02-01 05:10:00,4.547,-3.923255279,80.9
2023-02-01 05:20:00,4.661,-4.314585483,80.6
2023-02-01 05:30:00,4.763,-3.933914168,80.4
2023-02-01 05:40:00,4.757,-4.244053896,80.4
2023-02-01 05:50:00,4.814,-4.09585327,80.7
2023-02-01 06:00:00,4.827,-4.131257739,80.1
2023-02-01 06:10:00,4.84,-4.329163904,80.1
2023-02-01 06:20:00,4.839,-4.247034523,80.5
2023-02-01 06:30:00,4.814,-4.065778465,80.9
2023-02-01 06:40:00,4.815,-3.518001194,81.2
2023-02-01 06:50:00,4.85,-3.881850131,81
2023-02-01 07:00:00,5.007,-3.527594022,80.1
2023-02-01 07:10:00,5.184,-3.018724574,79.48
2023-02-01 07:20:00,5.231,-3.674230548,79.67
2023-02-01 07:30:00,5.26,-3.285912253,79.63
2023-02-01 07:40:00,5.295,-3.337594038,78.96
2023-02-01 07:50:00,5.285,-3.509079196,78.93
2023-02-01 08:00:00,5.264,-3.093901989,78.77
2023-02-01 08:10:00,5.364,-3.257310402,77.54
2023-02-01 08:20:00,5.414,-3.372878775,77.93
2023-02-01 08:30:00,5.416,-3.494163409,78.02
2023-02-01 08:40:00,5.429,-3.389052806,78.02
2023-02-01 08:50:00,5.405,-2.900522155,78.86
2023-02-01 09:00:00,5.378,-3.141712373,78.91
2023-02-01 09:10:00,5.444,-3.226361506,78.26
2023-02-01 09:20:00,5.662,-3.365938721,77.81
2023-02-01 09:30:00,5.894,-3.461748058,75.81
2023-02-01 09:40:00,6.276,-2.987254405,74.25
2023-02-01 10:10:00,6.641,-3.274857668,73.12
2023-02-01 10:20:00,6.885,-3.075504393,72.4
2023-02-01 10:40:00,7.244,-2.525527261,72.23
2023-02-01 11:00:00,7.721,-2.976562418,69.42
2023-02-01 11:10:00,8.06,-2.398349089,67.6
2023-02-01 11:20:00,8.45,-3.059166392,66.3
2023-02-01 11:30:00,8.62,-3.066264627,66.47
2023-02-01 11:40:00,8.66,-2.098955077,66.88
2023-02-01 11:50:00,8.75,-3.006274335,66.33
2023-02-01 12:00:00,8.88,-3.045846984,65.54
2023-02-01 12:10:00,8.98,-3.52413222,64.96
2023-02-01 12:50:00,9.17,-2.793488446,65.1
2023-02-01 13:00:00,9.18,-2.938771833,64.92
2023-02-01 13:10:00,9.18,-3.10056385,65.1
2023-02-01 13:20:00,9.23,-3.27167981,64.72
2023-02-01 13:30:00,9.25,-2.927160225,65.4
2023-02-01 13:40:00,9.21,-2.963525631,66.46
2023-02-01 13:50:00,9.17,-3.694894733,66.22
2023-02-01 14:00:00,9.15,-3.12991856,66.84
2023-02-01 14:10:00,9.16,-2.932773019,66.84
2023-02-01 14:20:00,9.16,-3.097839159,66.77
2023-02-01 14:30:00,9.17,-3.032386034,67.83
2023-02-01 14:40:00,9,-3.253253339,68.72
2023-02-01 14:50:00,8.94,-3.034720838,69.4
2023-02-01 15:00:00,8.86,-2.925864628,69.51
2023-02-01 15:10:00,8.78,-2.872328398,69.98
2023-02-01 15:20:00,8.71,-2.937921844,70.84
2023-02-01 15:30:00,8.59,-2.914590255,71.98
2023-02-01 15:40:00,8.47,-3.087124349,72.28
2023-02-01 15:50:00,8.44,-3.439744835,72.42
2023-02-01 16:00:00,8.42,-3.176008268,72.73
2023-02-01 16:10:00,8.4,-3.274409434,71.57
2023-02-01 16:20:00,8.43,-2.267742607,73.14
2023-02-01 16:30:00,8.34,-2.129875169,73.52
2023-02-01 16:40:00,8.27,-2.449303033,72.7
2023-02-01 16:50:00,8.34,-2.724350146,72.29
2023-02-01 17:00:00,8.35,-2.741015641,71.19
2023-02-01 17:10:00,8.42,-2.807082206,71.05
2023-02-01 17:20:00,8.36,-2.777748464,71.84
2023-02-01 17:30:00,8.24,-3.109399641,71.81
2023-02-01 17:40:00,8.18,-2.851889511,71.86
2023-02-01 17:50:00,8.08,-2.736247973,72.39
2023-02-01 18:00:00,8.03,-3.076189414,72.01
2023-02-01 18:10:00,7.928,-3.179625925,72.94
2023-02-01 18:20:00,7.683,-3.083805658,74.55
2023-02-01 18:30:00,7.58,-3.173620658,75.26
2023-02-01 18:40:00,7.485,-3.398216495,75.47
2023-02-01 18:50:00,7.505,-2.770672209,75.03
2023-02-01 19:00:00,7.534,-2.90490374,74.99
2023-02-01 19:10:00,7.586,-2.953800825,75.88
2023-02-01 19:20:00,7.55,-3.134694413,76.57
2023-02-01 19:30:00,7.549,-3.42983598,77.7
2023-02-01 19:40:00,7.563,-3.54613327,78.18
2023-02-01 19:50:00,7.547,-4.302857029,78.55
2023-02-01 20:00:00,7.428,-3.592016204,79.65
2023-02-01 20:10:00,7.326,-3.964580538,80.3
2023-02-01 20:20:00,7.317,-4.086350864,80.4
2023-02-01 20:30:00,7.292,-3.872563918,81.1
2023-02-01 20:40:00,7.234,-4.112080781,81.2
2023-02-01 20:50:00,7.203,-4.27599638,80.9
2023-02-01 21:00:00,7.196,-3.910358618,80.9
2023-02-01 21:10:00,7.201,-4.365406876,80.7
2023-02-01 21:20:00,7.181,-4.103264089,80.6
2023-02-01 21:30:00,7.189,-4.559619321,80.4
2023-02-01 21:40:00,7.198,-4.406460144,80.3
2023-02-01 21:50:00,7.222,-4.089744018,80.2
2023-02-01 22:00:00,7.234,-4.100527668,80.7
2023-02-01 22:10:00,7.22,-4.367279685,80.8
2023-02-01 22:20:00,7.166,-3.86079357,81.4
2023-02-01 22:30:00,7.056,-3.894998691,82.5
2023-02-01 22:40:00,6.96,-2.959261678,82.8
2023-02-01 22:50:00,6.942,-3.58885226,82.7
2023-02-01 23:00:00,6.954,-3.263073024,83.1
2023-02-01 23:10:00,6.929,-2.701703714,83.5
2023-02-01 23:20:00,6.975,-3.31759839,83
2023-02-01 23:30:00,7.095,-2.881915633,82.3
2023-02-01 23:40:00,7.146,-2.985525211,82.3
2023-02-01 23:50:00,7.164,-3.554897889,82.3
2023-02-02 00:00:00,7.159,-3.655488334,82.3
2023-02-02 00:10:00,7.164,-3.559793682,82.7
2023-02-02 00:20:00,7.142,-3.25968473,82.9
2023-02-02 00:30:00,7.138,-2.620777967,83
2023-02-02 00:40:00,7.118,-3.318497957,83.4
2023-02-02 00:50:00,7.028,-3.11782927,84.5
2023-02-02 01:00:00,6.952,-3.324122268,85
2023-02-02 01:10:00,6.933,-3.172557505,85.8
2023-02-02 01:20:00,6.865,-3.194450843,86.1
2023-02-02 01:30:00,6.84,-3.008523882,86.5
2023-02-02 01:40:00,6.766,-2.85916992,86.3
2023-02-02 01:50:00,6.75,-3.097959447,85.9
2023-02-02 02:00:00,6.723,-2.197767647,86.1
2023-02-02 02:10:00,6.654,-2.10101326,86.2
2023-02-02 02:20:00,6.567,-2.062470431,86.5
2023-02-02 02:30:00,6.43,-2.428660352,87.2
2023-02-02 02:40:00,6.382,-2.629947447,87.6
2023-02-02 02:50:00,6.487,-2.837789593,87.6
2023-02-02 03:00:00,6.554,-3.073017515,88
2023-02-02 03:10:00,6.601,-3.228101142,88.4
2023-02-02 03:20:00,6.634,-2.911127599,88.2
2023-02-02 03:30:00,6.698,-2.915983201,87.4
2023-02-02 03:40:00,6.79,-3.08246545,86.3
2023-02-02 03:50:00,6.861,-3.212429749,85.1
2023-02-02 04:00:00,6.877,-3.403258346,84.1
2023-02-02 04:10:00,6.844,-3.212502358,83.8
2023-02-02 04:20:00,6.695,-2.934174276,83.4
2023-02-02 04:30:00,6.651,-3.073172283,82.6
2023-02-02 04:40:00,6.555,-3.430106017,82.7
2023-02-02 04:50:00,6.398,-3.541579401,82.8
2023-02-02 05:00:00,6.088,-3.420603597,83.4
2023-02-02 05:10:00,6.04,-3.508779212,84
2023-02-02 05:20:00,6.113,-3.096608668,85
2023-02-02 05:30:00,6.104,-2.889746986,86.1
2023-02-02 05:40:00,6.085,-2.504170719,87.3
2023-02-02 05:50:00,6.078,-3.245051331,87.9
2023-02-02 06:00:00,6.266,-3.224307496,88.5
2023-02-02 06:10:00,6.431,-3.603236223,89
2023-02-02 06:20:00,6.503,-3.699925107,89.9
2023-02-02 06:30:00,6.553,-4.157109339,90.3
2023-02-02 06:40:00,6.64,-3.663490475,90.5
2023-02-02 06:50:00,6.612,-3.573166146,91
2023-02-02 07:00:00,6.602,-3.287345607,91.5
2023-02-02 07:10:00,6.65,-3.514841714,92
2023-02-02 07:20:00,6.664,-3.128622811,92.9
2023-02-02 07:30:00,6.821,-3.479533246,92.8
2023-02-02 07:40:00,6.921,-3.064014921,92.9
2023-02-02 07:50:00,6.949,-2.86464799,93.3
